,SMILES,N2 permeability (barrer)
294,*O[Si](C)(C)c1ccc([Si](*)(C)C)cc1,3.3449999999999998
295,*O[Si](C)(C)c1cccc([Si](*)(C)C)c1,31.95
296,*Oc1c(-c2ccccc2)cc(*)cc1-c1ccccc1,1.2933333333333332
297,*Oc1c(Br)cc(C(C)(C)c2cc(Br)c(OC(*)=O)c(Br)c2)cc1Br,0.2
298,*Oc1c(Br)cc(C(C)(C)c2cc(Br)c(OC(=O)c3cc(C(*)=O)cc(C(C)(C)C)c3)c(Br)c2)cc1Br,0.8755
299,*Oc1c(Br)cc(C(C)(C)c2cc(Br)c(OC(=O)c3cccc(C(*)=O)c3)c(Br)c2)cc1Br,0.18
300,*Oc1c(Br)cc(C(c2cc(Br)c(OC(*)=O)c(Br)c2)(C(F)(F)F)C(F)(F)F)cc1Br,1.8
301,*Oc1c(Br)cc(C(c2cc(Br)c(OC(=O)c3cc(C(*)=O)cc(C(C)(C)C)c3)c(Br)c2)(C(F)(F)F)C(F)(F)F)cc1Br,4.47
302,*Oc1c(Br)cc(C(c2cc(Br)c(OC(=O)c3cccc(C(*)=O)c3)c(Br)c2)(C(F)(F)F)C(F)(F)F)cc1Br,1.07
303,*Oc1c(Br)cc(C2(c3cc(Br)c(OC(=O)c4cc(C(*)=O)cc(C(C)(C)C)c4)c(Br)c3)c3ccccc3-c3ccccc32)cc1Br,2.94
304,*Oc1c(Br)cc(C2(c3cc(Br)c(OC(=O)c4cccc(C(*)=O)c4)c(Br)c3)OC(=O)c3ccccc32)cc1Br,0.282
305,*Oc1c(Br)cc(C2(c3cc(Br)c(OC(=O)c4cccc(C(*)=O)c4)c(Br)c3)c3ccccc3-c3ccccc32)cc1Br,0.705
306,*Oc1c(C)cc(*)cc1C,3.7411111111111115
307,*Oc1c(C)cc(-c2cc(C)c(Oc3ccc(S(=O)(=O)c4ccc(*)cc4)cc3)c(C)c2)cc1C,1.209
308,*Oc1c(C)cc(-c2cc(C)c(Oc3ccc(S(=O)(=O)c4ccc(*)cc4)cc3)c(C)c2C)c(C)c1C,1.2
